Sampling frequency [arb.units]	One ratio [arb.units]	(One ratio - 0.5)\u2\n
5.240000e-01	5.000000e-01	0.000000e+00
5.250000e-01	5.641026e-01	4.109139e-03
5.260000e-01	5.641026e-01	4.109139e-03
5.270000e-01	5.641026e-01	4.109139e-03
5.280000e-01	5.641026e-01	4.109139e-03
5.290000e-01	5.641026e-01	4.109139e-03
5.300000e-01	5.641026e-01	4.109139e-03
5.310000e-01	5.625000e-01	3.906250e-03
5.320000e-01	5.625000e-01	3.906250e-03
5.330000e-01	5.625000e-01	3.906250e-03
5.340000e-01	5.625000e-01	3.906250e-03
5.350000e-01	7.500000e-01	6.250000e-02
5.360000e-01	7.500000e-01	6.250000e-02
5.370000e-01	7.500000e-01	6.250000e-02
5.380000e-01	7.500000e-01	6.250000e-02
5.390000e-01	7.500000e-01	6.250000e-02
5.400000e-01	5.333333e-01	1.111111e-03
5.410000e-01	5.333333e-01	1.111111e-03
5.420000e-01	5.333333e-01	1.111111e-03
5.430000e-01	5.333333e-01	1.111111e-03
5.440000e-01	5.333333e-01	1.111111e-03
5.450000e-01	6.250000e-01	1.562500e-02
5.460000e-01	6.250000e-01	1.562500e-02
5.470000e-01	6.250000e-01	1.562500e-02
5.480000e-01	6.250000e-01	1.562500e-02
5.490000e-01	6.250000e-01	1.562500e-02
5.500000e-01	4.931507e-01	4.691312e-05
5.510000e-01	4.931507e-01	4.691312e-05
5.520000e-01	4.931507e-01	4.691312e-05
5.530000e-01	4.931507e-01	4.691312e-05
5.540000e-01	4.931507e-01	4.691312e-05
5.550000e-01	5.000000e-01	0.000000e+00
5.560000e-01	5.000000e-01	0.000000e+00
5.570000e-01	5.000000e-01	0.000000e+00
5.580000e-01	5.000000e-01	0.000000e+00
5.590000e-01	5.000000e-01	0.000000e+00
5.600000e-01	5.000000e-01	0.000000e+00
5.610000e-01	4.666667e-01	1.111111e-03
5.620000e-01	4.666667e-01	1.111111e-03
5.630000e-01	4.666667e-01	1.111111e-03
5.640000e-01	4.666667e-01	1.111111e-03
5.650000e-01	6.250000e-01	1.562500e-02
5.660000e-01	6.250000e-01	1.562500e-02
5.670000e-01	6.250000e-01	1.562500e-02
5.680000e-01	6.250000e-01	1.562500e-02
5.690000e-01	6.250000e-01	1.562500e-02
5.700000e-01	6.000000e-01	1.000000e-02
5.710000e-01	6.000000e-01	1.000000e-02
5.720000e-01	6.000000e-01	1.000000e-02
5.730000e-01	6.000000e-01	1.000000e-02
5.740000e-01	6.000000e-01	1.000000e-02
5.750000e-01	4.857143e-01	2.040816e-04
5.760000e-01	4.857143e-01	2.040816e-04
5.770000e-01	4.857143e-01	2.040816e-04
5.780000e-01	4.857143e-01	2.040816e-04
5.790000e-01	4.857143e-01	2.040816e-04
