Time [\fm\ns]	x(t)	feedback	x(t-\ft\n)+\ff\n	MZM-out
6.380000e+00	1.387048e-01	7.060556e-01	-2.397208e-01	5.322705e-01
6.400000e+00	1.398727e-01	7.051453e-01	-2.399605e-01	5.315190e-01
6.420000e+00	-2.012547e-01	3.579664e-01	-2.401668e-01	5.308723e-01
6.440000e+00	-1.995559e-01	3.598622e-01	-2.392294e-01	5.338112e-01
6.460000e+00	-2.015170e-01	3.576600e-01	-2.400723e-01	5.311685e-01
6.480000e+00	-2.018736e-01	3.572075e-01	-2.404934e-01	5.298480e-01
6.500000e+00	-2.030113e-01	3.584929e-01	-2.399509e-01	5.315493e-01
6.520000e+00	-2.022339e-01	3.589263e-01	-2.397612e-01	5.321440e-01
6.540000e+00	-2.017578e-01	3.584239e-01	-2.398147e-01	5.319763e-01
6.560000e+00	-1.996921e-01	3.580614e-01	-2.398906e-01	5.317382e-01
6.580000e+00	-1.962518e-01	3.577272e-01	-2.401299e-01	5.309880e-01
6.600000e+00	-2.053110e-01	3.575028e-01	-2.401948e-01	5.307845e-01
6.620000e+00	-5.064936e-01	5.592410e-02	-2.399400e-01	5.315835e-01
6.640000e+00	-5.015392e-01	5.578077e-02	-2.405149e-01	5.297806e-01
6.660000e+00	-5.029960e-01	5.591626e-02	-2.401162e-01	5.310308e-01
6.680000e+00	-4.989436e-01	5.584124e-02	-2.401356e-01	5.309702e-01
